topic_id,aspect,top_words,document_count
0,Kualitas Guru,"al, santri, ppm al, ppm, yel, ikhlash, al ikhlash, allah, masya, moga",66
1,Sosial,"selamat sukses, selamat, sukses, pilih, telah, ihsan zainuddin, zainuddin, ihsan, ospi, ketua",29
2,Motivasi/Spiritual,"serah piagam, piagam, harga, piagam harga, serah, para, jadi, muslim, selamat, nak",4
3,Kegiatan Pondok,"gerak, gerak jalan, jalan, lomba, lomba gerak, smps, juara, smps al, ajang, juara ajang",73
4,Akademik,"pura, pura pura, pura sakit, sakit, umum, yg, anak, pondok, dlm, kasih",6
5,Umum,"tanding, live, putri, silat, silat antar, pencak, pencak silat, antar putri, tanding pencak, putri live",95
6,Fasilitas,"muslim, putra, ospi putra, ketua, ospi, selamat muslim, xi merdeka, santri kelas, muslim santri, merdeka ketua",4
7,Lingkungan,"duta, ajar sulawesi, duta ajar, sulawesi, pilih duta, ajar, sulawesi barat, barat, final, final pilih",30
8,Pembinaan Karakter,"santri, rumah, santri keluarga, keluarga ada, ada rumah, pesan santri, pesan, ada, keluarga, selamat",35
